Bin Name,copepod,detritus,noncopepod,Date
0,9694,6545,4635,"2024-05-17"
10,7931,6148,3929,"2024-05-17"
20,10695,6248,4197,"2024-05-17"
30,14755,7165,4619,"2024-05-17"
40,11247,7796,4995,"2024-05-17"
50,10418,6799,4286,"2024-05-17"
100,12038,6631,4237,"2024-05-17"
110,15401,7255,4536,"2024-05-17"
120,16574,7969,5366,"2024-05-17"
130,9773,6864,4407,"2024-05-17"
140,9170,7417,4775,"2024-05-17"
150,16313,8253,5097,"2024-05-17"
200,18221,9297,5820,"2024-05-17"
210,15669,9548,6281,"2024-05-17"
220,16969,9555,6193,"2024-05-17"
230,12223,11853,7451,"2024-05-17"
240,19373,14666,9132,"2024-05-17"
250,12621,9140,5490,"2024-05-17"
300,13174,6377,3792,"2024-05-17"
310,9807,8489,4940,"2024-05-17"
320,7382,5631,3345,"2024-05-17"
330,75985,123092,47518,"2024-05-17"
340,117908,194844,71508,"2024-05-17"
350,33112,61235,19795,"2024-05-17"
400,2289,3078,1977,"2024-05-17"
410,1438,2451,1549,"2024-05-17"
420,1662,2662,1892,"2024-05-17"
430,50073,84503,33426,"2024-05-17"
440,120623,192995,75186,"2024-05-17"
450,118402,191334,72315,"2024-05-17"
500,58745,91415,34574,"2024-05-17"
510,2732,3697,2463,"2024-05-17"
520,1456,2327,1490,"2024-05-17"
530,36321,62603,21771,"2024-05-17"
540,103953,177689,65936,"2024-05-17"
550,121064,192708,70311,"2024-05-17"
600,31959,51407,20544,"2024-05-17"
700,1446,2432,1846,"2024-05-17"
800,34547,59082,23216,"2024-05-17"
900,1700,5624,3332,"2024-05-17"
1000,34832,58330,19558,"2024-05-17"
1100,5891,7927,4164,"2024-05-17"
1200,3243,6409,4029,"2024-05-17"
1300,7639,10459,6889,"2024-05-17"
1400,1502,5856,3725,"2024-05-17"
1500,66949,133382,47518,"2024-05-17"
1600,108175,215423,72483,"2024-05-17"
1610,108075,215195,71708,"2024-05-17"
