Bin Name,copepod,detritus,noncopepod
0,14733,14524,6696
10,15471,13454,6370
20,14921,13687,6228
30,14523,17164,7907
40,14782,13140,6057
50,14457,11817,5746
100,14443,14212,6618
110,13266,15320,6860
120,13103,15498,7099
130,12835,13944,6779
140,13269,14527,6916
150,13390,15762,7721
200,13229,14954,7450
210,13321,14036,6604
220,13517,14223,6928
230,14545,14586,6827
240,15090,13588,6257
250,14762,12770,5761
300,15667,11229,6121
310,16288,10353,5772
320,15799,9201,5181
330,16094,8437,4691
340,15961,8256,4463
350,15546,8168,4357
400,16364,9179,5098
410,15694,8616,4647
420,12989,7573,3955
430,12160,8308,4170
440,9031,6419,3392
450,9345,7175,3489
500,10184,6980,3238
510,10233,7385,3172
520,11186,9407,3583
530,12640,14330,4999
540,17458,19051,6119
550,18279,19766,6356
600,19900,20498,6508
610,74541,142282,40339
620,124660,253609,70397
630,114524,236859,65905
640,97118,202662,55126
650,25493,55387,15046
700,105830,226223,62036
710,20433,35871,10094
720,12111,11065,4740
730,12706,11356,5678
740,12430,11842,5747
750,13223,14093,7260
800,13992,10209,4569
810,38709,71874,21558
820,124993,253508,71468
830,128341,249716,71446
840,125812,250127,68581
850,33552,51580,16182
900,15399,8629,4763
910,16536,9679,5388
920,16582,9524,5033
930,80103,151511,40770
940,18637,9430,4493
950,15225,9437,4591
1000,25023,33119,10473
1010,125493,252010,68642
1020,126887,247592,67259
1030,75713,132698,36717
1040,23000,10848,5473
1050,23023,9975,4974
1100,68743,120546,34910
1110,28944,44880,13527
1120,71146,143453,40526
1130,18507,22084,7309
1140,15402,9421,4659
1150,14275,8274,3886
1200,13791,7942,3828
1210,12853,6744,3390
1220,12977,6918,3459
1230,13332,6680,3398
1240,14548,7706,3892
1250,14307,7270,3608
1300,14533,7302,3756
1310,15099,7600,3867
1320,16073,8277,4239
1330,16448,8314,4221
1340,55521,114017,29441
1350,37601,65689,18262
1400,20124,12820,5245
1410,33503,44178,14743
1420,35961,64417,19556
1430,11749,7885,3610
1440,7918,6799,2904
1450,2848,3973,1891
1500,1345,2966,1490
1510,1409,3370,1633
1520,9017,21656,6456
1530,79860,182388,51731
1540,86766,200888,54236
1550,15840,34498,10871
1600,2470,3952,2313
1610,2072,3844,2410
1620,1984,3691,2145
1630,2731,4690,2691
1640,3865,5251,3055
1650,21168,47660,14506
1700,112707,261711,72296
1710,108114,254549,68331
1720,109531,264745,71583
1730,110462,263253,69788
1740,108081,262475,65651
1750,77935,185634,52068
1800,10200,12861,7871
1810,8614,10575,7071
1820,6011,8896,5944
1830,5526,8397,5266
1840,5286,7637,5037
1850,5557,8488,5344
1900,8240,8808,5732
1910,8393,8292,5312
1920,7460,8092,5219
1930,7867,8334,5467
1940,10767,8904,5566
1950,10879,8750,5778
2000,14037,11227,7179
2010,22176,11118,7147
2020,21631,11761,7566
2030,19158,12121,7993
2040,17419,13313,8344
2050,13868,11247,6913
2100,13294,10544,6837
2110,13706,13709,9325
2120,13527,16634,11445
2130,12526,15818,10848
2140,12277,14762,10218
2150,14761,22171,12324
2200,14194,20912,11842
2210,15943,25155,13573
2220,18763,28930,13942
2230,38842,83930,30768
2240,46188,100140,34908
2250,39633,80622,28191
2300,18947,24344,11523
2310,57715,128045,43052
2320,66844,155084,50935
2330,92591,227352,72767
2340,87071,213115,69498
2350,84570,211022,67067
