Latitude,Longitude,Image DateTime,Predicted Class,object_length,count
55.3452,-0.8689,2024-05-23 08:00:00,copepod,16.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,17.0,3
55.3452,-0.8689,2024-05-23 08:00:00,copepod,18.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,19.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,21.0,3
55.3452,-0.8689,2024-05-23 08:00:00,copepod,22.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,23.0,3
55.3452,-0.8689,2024-05-23 08:00:00,copepod,24.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,26.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,28.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,30.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,31.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,32.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,33.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,36.0,1
55.3452,-0.8689,2024-05-23 08:00:00,copepod,38.0,2
55.3452,-0.8689,2024-05-23 08:00:00,copepod,107.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,0.0,12
55.3452,-0.8689,2024-05-23 08:00:00,detritus,10.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,11.0,2
55.3452,-0.8689,2024-05-23 08:00:00,detritus,13.0,2
55.3452,-0.8689,2024-05-23 08:00:00,detritus,16.0,2
55.3452,-0.8689,2024-05-23 08:00:00,detritus,17.0,7
55.3452,-0.8689,2024-05-23 08:00:00,detritus,18.0,11
55.3452,-0.8689,2024-05-23 08:00:00,detritus,19.0,15
55.3452,-0.8689,2024-05-23 08:00:00,detritus,20.0,11
55.3452,-0.8689,2024-05-23 08:00:00,detritus,21.0,11
55.3452,-0.8689,2024-05-23 08:00:00,detritus,22.0,8
55.3452,-0.8689,2024-05-23 08:00:00,detritus,23.0,7
55.3452,-0.8689,2024-05-23 08:00:00,detritus,24.0,4
55.3452,-0.8689,2024-05-23 08:00:00,detritus,25.0,5
55.3452,-0.8689,2024-05-23 08:00:00,detritus,27.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,28.0,3
55.3452,-0.8689,2024-05-23 08:00:00,detritus,32.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,33.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,35.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,36.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,40.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,41.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,42.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,51.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,79.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,1639.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,2303.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,2999.0,1
55.3452,-0.8689,2024-05-23 08:00:00,detritus,3239.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,0.0,3
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,14.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,17.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,20.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,25.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,28.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,495.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,863.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,1343.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,1551.0,1
55.3452,-0.8689,2024-05-23 08:00:00,noncopepod,1927.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,0.0,4
55.3452,-0.8688,2024-05-23 08:00:00,copepod,13.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,14.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,15.0,4
55.3452,-0.8688,2024-05-23 08:00:00,copepod,16.0,6
55.3452,-0.8688,2024-05-23 08:00:00,copepod,17.0,7
55.3452,-0.8688,2024-05-23 08:00:00,copepod,18.0,10
55.3452,-0.8688,2024-05-23 08:00:00,copepod,19.0,7
55.3452,-0.8688,2024-05-23 08:00:00,copepod,20.0,7
55.3452,-0.8688,2024-05-23 08:00:00,copepod,21.0,15
55.3452,-0.8688,2024-05-23 08:00:00,copepod,22.0,11
55.3452,-0.8688,2024-05-23 08:00:00,copepod,23.0,17
55.3452,-0.8688,2024-05-23 08:00:00,copepod,24.0,8
55.3452,-0.8688,2024-05-23 08:00:00,copepod,25.0,8
55.3452,-0.8688,2024-05-23 08:00:00,copepod,26.0,14
55.3452,-0.8688,2024-05-23 08:00:00,copepod,27.0,7
55.3452,-0.8688,2024-05-23 08:00:00,copepod,28.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,29.0,7
55.3452,-0.8688,2024-05-23 08:00:00,copepod,30.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,31.0,6
55.3452,-0.8688,2024-05-23 08:00:00,copepod,32.0,2
55.3452,-0.8688,2024-05-23 08:00:00,copepod,33.0,4
55.3452,-0.8688,2024-05-23 08:00:00,copepod,34.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,35.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,36.0,2
55.3452,-0.8688,2024-05-23 08:00:00,copepod,37.0,4
55.3452,-0.8688,2024-05-23 08:00:00,copepod,38.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,39.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,41.0,3
55.3452,-0.8688,2024-05-23 08:00:00,copepod,43.0,2
55.3452,-0.8688,2024-05-23 08:00:00,copepod,46.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,49.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,54.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,62.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,76.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,78.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,79.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,1455.0,1
55.3452,-0.8688,2024-05-23 08:00:00,copepod,1967.0,1
55.3452,-0.8688,2024-05-23 08:00:00,detritus,0.0,49
55.3452,-0.8688,2024-05-23 08:00:00,detritus,8.0,4
