,Date,Tenbin,Minute,Hits,Misses
0,2024-05-19,0000,0,3125,0
1,2024-05-19,0000,1,3895,0
2,2024-05-19,0000,2,3021,0
3,2024-05-19,0000,3,3154,0
4,2024-05-19,0000,4,3040,0
5,2024-05-19,0000,5,4533,0
6,2024-05-19,0000,6,3154,0
7,2024-05-19,0000,7,3125,0
8,2024-05-19,0000,8,3350,0
9,2024-05-19,0000,9,5556,0
0,2024-05-19,0010,0,5183,0
1,2024-05-19,0010,1,3277,0
2,2024-05-19,0010,2,3228,0
3,2024-05-19,0010,3,3389,0
4,2024-05-19,0010,4,3194,0
5,2024-05-19,0010,5,4009,0
6,2024-05-19,0010,6,3197,0
7,2024-05-19,0010,7,3421,0
8,2024-05-19,0010,8,3309,0
9,2024-05-19,0010,9,3088,0
0,2024-05-19,0020,0,3151,0
1,2024-05-19,0020,1,3723,0
2,2024-05-19,0020,2,5147,0
3,2024-05-19,0020,3,3441,0
4,2024-05-19,0020,4,3391,0
5,2024-05-19,0020,5,3173,0
6,2024-05-19,0020,6,3257,0
7,2024-05-19,0020,7,3240,0
8,2024-05-19,0020,8,3127,0
9,2024-05-19,0020,9,3186,0
0,2024-05-19,0030,0,3113,0
1,2024-05-19,0030,1,3234,0
2,2024-05-19,0030,2,3672,0
3,2024-05-19,0030,3,4189,0
4,2024-05-19,0030,4,3042,0
5,2024-05-19,0030,5,5784,0
6,2024-05-19,0030,6,3503,0
7,2024-05-19,0030,7,3310,0
8,2024-05-19,0030,8,6557,0
9,2024-05-19,0030,9,3190,0
0,2024-05-19,0040,0,3199,0
1,2024-05-19,0040,1,4142,0
2,2024-05-19,0040,2,3325,0
3,2024-05-19,0040,3,3572,0
4,2024-05-19,0040,4,3405,0
5,2024-05-19,0040,5,3142,0
6,2024-05-19,0040,6,3128,0
7,2024-05-19,0040,7,3086,0
8,2024-05-19,0040,8,3027,0
9,2024-05-19,0040,9,3953,0
0,2024-05-19,0050,0,3119,0
1,2024-05-19,0050,1,3054,0
2,2024-05-19,0050,2,3184,0
3,2024-05-19,0050,3,3799,0
4,2024-05-19,0050,4,3144,0
5,2024-05-19,0050,5,3025,0
6,2024-05-19,0050,6,3258,0
7,2024-05-19,0050,7,3268,0
8,2024-05-19,0050,8,3117,0
9,2024-05-19,0050,9,3052,0
0,2024-05-19,0100,0,3672,0
1,2024-05-19,0100,1,3090,0
2,2024-05-19,0100,2,3146,0
3,2024-05-19,0100,3,5539,0
4,2024-05-19,0100,4,3083,0
5,2024-05-19,0100,5,3289,0
6,2024-05-19,0100,6,3167,0
7,2024-05-19,0100,7,3414,0
8,2024-05-19,0100,8,3751,0
9,2024-05-19,0100,9,3122,0
0,2024-05-19,0110,0,3063,0
1,2024-05-19,0110,1,4329,0
2,2024-05-19,0110,2,3016,0
3,2024-05-19,0110,3,2981,0
4,2024-05-19,0110,4,4596,0
5,2024-05-19,0110,5,3825,0
6,2024-05-19,0110,6,3549,0
7,2024-05-19,0110,7,3174,0
8,2024-05-19,0110,8,3085,0
9,2024-05-19,0110,9,3828,0
0,2024-05-19,0120,0,2855,0
1,2024-05-19,0120,1,3195,0
2,2024-05-19,0120,2,3445,0
3,2024-05-19,0120,3,3684,0
4,2024-05-19,0120,4,3625,0
5,2024-05-19,0120,5,3609,0
6,2024-05-19,0120,6,3956,0
7,2024-05-19,0120,7,3520,0
8,2024-05-19,0120,8,3258,0
9,2024-05-19,0120,9,4553,0
0,2024-05-19,0130,0,3326,0
1,2024-05-19,0130,1,3086,0
2,2024-05-19,0130,2,3293,0
3,2024-05-19,0130,3,3173,0
4,2024-05-19,0130,4,3175,0
5,2024-05-19,0130,5,3574,0
6,2024-05-19,0130,6,3243,0
7,2024-05-19,0130,7,3326,0
8,2024-05-19,0130,8,3742,0
9,2024-05-19,0130,9,3620,0
0,2024-05-19,0140,0,3462,0
1,2024-05-19,0140,1,3428,0
2,2024-05-19,0140,2,3483,0
3,2024-05-19,0140,3,3784,0
4,2024-05-19,0140,4,3598,0
5,2024-05-19,0140,5,3499,0
6,2024-05-19,0140,6,3423,0
7,2024-05-19,0140,7,3285,0
8,2024-05-19,0140,8,3455,0
9,2024-05-19,0140,9,3295,0
0,2024-05-19,0150,0,3584,0
1,2024-05-19,0150,1,3623,0
2,2024-05-19,0150,2,4056,0
3,2024-05-19,0150,3,4184,0
4,2024-05-19,0150,4,3910,0
5,2024-05-19,0150,5,3433,0
6,2024-05-19,0150,6,3375,0
7,2024-05-19,0150,7,3649,0
8,2024-05-19,0150,8,3746,0
9,2024-05-19,0150,9,3313,0
0,2024-05-19,0200,0,3466,0
1,2024-05-19,0200,1,3813,0
2,2024-05-19,0200,2,3613,0
3,2024-05-19,0200,3,3502,0
4,2024-05-19,0200,4,4151,0
5,2024-05-19,0200,5,3431,0
6,2024-05-19,0200,6,3458,0
7,2024-05-19,0200,7,3436,0
8,2024-05-19,0200,8,3280,0
9,2024-05-19,0200,9,3483,0
0,2024-05-19,0210,0,3585,0
1,2024-05-19,0210,1,3560,0
2,2024-05-19,0210,2,3044,0
