Index,Date,Tenbin,Minute,Hits,Misses
0,2024-05-16,1345,0,6351,0
1,2024-05-16,1345,1,2851,0
2,2024-05-16,1347,0,12157,0
3,2024-05-16,1347,1,20239,0
4,2024-05-16,1347,2,42792,0
5,2024-05-16,1350,0,43970,272127
6,2024-05-16,1350,1,33123,848743
7,2024-05-16,1350,2,28487,423005
8,2024-05-16,1350,3,34914,103681
9,2024-05-16,1350,4,42644,207597
10,2024-05-16,1350,5,39081,102705
11,2024-05-16,1350,6,44678,166111
12,2024-05-16,1350,7,41082,259430
13,2024-05-16,1350,8,38497,720300
14,2024-05-16,1350,9,44680,246028
15,2024-05-16,1400,0,42522,220039
16,2024-05-16,1400,1,42203,184482
17,2024-05-16,1400,2,31187,14429
18,2024-05-16,1400,3,13529,0
19,2024-05-16,1400,4,12188,0
20,2024-05-16,1400,5,11620,0
21,2024-05-16,1400,6,12993,0
22,2024-05-16,1400,7,12400,0
23,2024-05-16,1400,8,12492,0
24,2024-05-16,1400,9,13190,0
25,2024-05-16,1410,0,12750,0
26,2024-05-16,1410,1,12266,0
27,2024-05-16,1410,2,13189,0
28,2024-05-16,1410,3,13684,0
29,2024-05-16,1410,4,13532,0
30,2024-05-16,1410,5,15667,0
31,2024-05-16,1410,6,17018,0
32,2024-05-16,1410,7,14440,0
33,2024-05-16,1410,8,13742,0
34,2024-05-16,1410,9,11513,0
35,2024-05-16,1420,0,11301,0
36,2024-05-16,1420,1,12731,0
37,2024-05-16,1420,2,13492,0
38,2024-05-16,1420,3,13134,0
39,2024-05-16,1420,4,13291,0
40,2024-05-16,1420,5,13314,0
41,2024-05-16,1420,6,13629,0
42,2024-05-16,1420,7,12465,0
43,2024-05-16,1420,8,10312,0
44,2024-05-16,1420,9,10346,0
45,2024-05-16,1430,0,12144,0
46,2024-05-16,1430,1,14013,0
47,2024-05-16,1430,2,14634,0
48,2024-05-16,1430,3,16406,0
49,2024-05-16,1430,4,17780,0
50,2024-05-16,1430,5,19251,0
51,2024-05-16,1430,6,18897,0
52,2024-05-16,1430,7,19446,0
53,2024-05-16,1430,8,21956,0
54,2024-05-16,1430,9,25408,0
55,2024-05-16,1440,0,16518,0
56,2024-05-16,1440,1,14457,0
57,2024-05-16,1440,2,15026,0
58,2024-05-16,1440,3,11631,0
59,2024-05-16,1440,4,9907,0
60,2024-05-16,1440,5,9666,0
61,2024-05-16,1440,6,8359,0
62,2024-05-16,1440,7,7648,0
63,2024-05-16,1440,8,8410,0
64,2024-05-16,1440,9,7312,0
65,2024-05-16,1450,0,6811,0
66,2024-05-16,1450,1,5719,0
67,2024-05-16,1450,2,4623,0
68,2024-05-16,1450,3,4333,0
69,2024-05-16,1450,4,4744,0
70,2024-05-16,1450,5,3643,0
71,2024-05-16,1450,6,3706,0
72,2024-05-16,1450,7,3556,0
73,2024-05-16,1450,8,3786,0
74,2024-05-16,1450,9,3701,0
75,2024-05-16,1500,0,3370,0
76,2024-05-16,1500,1,3342,0
77,2024-05-16,1500,2,3451,0
78,2024-05-16,1500,3,3294,0
79,2024-05-16,1500,4,3124,0
80,2024-05-16,1500,5,3234,0
81,2024-05-16,1500,6,3708,0
82,2024-05-16,1500,7,3415,0
83,2024-05-16,1500,8,3091,0
84,2024-05-16,1500,9,3114,0
85,2024-05-16,1510,0,2915,0
86,2024-05-16,1510,1,2778,0
87,2024-05-16,1510,2,2947,0
88,2024-05-16,1510,3,2704,0
89,2024-05-16,1510,4,3073,0
90,2024-05-16,1510,5,2843,0
91,2024-05-16,1510,6,2625,0
92,2024-05-16,1510,7,2592,0
93,2024-05-16,1510,8,2678,0
94,2024-05-16,1510,9,4031,0
95,2024-05-16,1520,0,3003,0
96,2024-05-16,1520,1,4411,0
97,2024-05-16,1520,2,3036,0
98,2024-05-16,1520,3,2604,0
99,2024-05-16,1520,4,3405,0
100,2024-05-16,1520,5,2456,0
101,2024-05-16,1520,6,2484,0
102,2024-05-16,1520,7,2362,0
103,2024-05-16,1520,8,2396,0
104,2024-05-16,1520,9,2160,0
105,2024-05-16,1530,0,2169,0
106,2024-05-16,1530,1,2192,0
107,2024-05-16,1530,2,2221,0
108,2024-05-16,1530,3,2315,0
109,2024-05-16,1530,4,2480,0
110,2024-05-16,1530,5,2217,0
111,2024-05-16,1530,6,2281,0
112,2024-05-16,1530,7,2316,0
113,2024-05-16,1530,8,2558,0
114,2024-05-16,1530,9,2441,0
115,2024-05-16,1540,0,1994,0
116,2024-05-16,1540,1,2120,0
117,2024-05-16,1540,2,3173,0
118,2024-05-16,1540,3,2091,0
119,2024-05-16,1540,4,2285,0
120,2024-05-16,1540,5,2385,0
121,2024-05-16,1540,6,2056,0
122,2024-05-16,1540,7,1884,0
123,2024-05-16,1540,8,2326,0
124,2024-05-16,1540,9,2246,0
125,2024-05-16,1550,0,2437,0
126,2024-05-16,1550,1,1999,0
127,2024-05-16,1550,2,2098,0
128,2024-05-16,1550,3,1945,0
129,2024-05-16,1550,4,2697,0
130,2024-05-16,1550,5,2218,0
131,2024-05-16,1550,6,2256,0
132,2024-05-16,1550,7,2317,0
133,2024-05-16,1550,8,2077,0
134,2024-05-16,1550,9,3328,0
135,2024-05-16,1600,0,4086,0
136,2024-05-16,1600,1,3840,0
137,2024-05-16,1600,2,3380,0
138,2024-05-16,1600,3,2692,0
139,2024-05-16,1600,4,2440,0
