Cruise,Date,Stno,TVID,TimeStart,TimeEnd,FirstOfStartLatDeg,FirstOfStartLatMin,FirstOfStartLongDeg,FirstOfStartLongMin,FirstOfStartLongEWFactor,FirstOfEndLatDeg,FirstOfEndLatMin,FirstOfEndLongDeg,FirstOfEndLongMin,FirstOfEndLongEWFactor
08/24,17/05/2024,1,6-BA,17/05/2024 04:16,17/05/2024 04:26,54,46.9675,0,49.0667,-1,54,46.8908,0,48.9779,-1
08/24,17/05/2024,2,6-DP,17/05/2024 05:19,17/05/2024 05:29,54,49.5583,0,51.0788,-1,54,49.491,0,50.9687,-1
08/24,17/05/2024,3,6-DQ,17/05/2024 06:15,17/05/2024 06:25,54,47.9883,0,55.2502,-1,54,47.9368,0,55.1148,-1
08/24,17/05/2024,4,6-BB,17/05/2024 07:15,17/05/2024 07:25,54,46.2927,0,57.9971,-1,54,46.2692,0,57.8394,-1
08/24,17/05/2024,5,6-DG,17/05/2024 08:24,17/05/2024 08:34,54,44.204,0,57.859,-1,54,44.218,0,58.02,-1
08/24,17/05/2024,6,6-DF,17/05/2024 10:51,17/05/2024 11:01,54,45.5055,1,2.389,-1,54,45.5429,1,2.5377,-1
08/24,17/05/2024,8,6-AZ,17/05/2024 12:15,17/05/2024 12:25,54,46.9406,1,2.2531,-1,54,47.0119,1,2.3563,-1
08/24,17/05/2024,9,6-AY,17/05/2024 13:53,17/05/2024 14:03,54,48.398,1,0.8,-1,54,48.491,1,0.923,-1
08/24,17/05/2024,10,6-DN,17/05/2024 15:39,17/05/2024 15:49,54,54.925,0,51.504,-1,54,54.834,0,51.467,-1
08/24,17/05/2024,11,6-DM,17/05/2024 16:46,17/05/2024 16:56,54,57.989,0,51.057,-1,54,57.911,0,50.969,-1
08/24,17/05/2024,12,6-CG,17/05/2024 18:33,17/05/2024 18:43,54,59.1874,0,56.0965,-1,54,59.1111,0,56.0028,-1
08/24,17/05/2024,13,6-AU,17/05/2024 19:15,17/05/2024 19:25,54,58.6626,0,56.6484,-1,54,58.6097,0,56.5131,-1
08/24,17/05/2024,14,6-DC,17/05/2024 20:27,17/05/2024 20:37,55,0.9941,0,58.3723,-1,55,0.994,0,58.2104,-1
08/24,17/05/2024,15,6-CH,17/05/2024 21:27,17/05/2024 21:37,54,59.7138,1,1.2932,-1,54,59.684,1,1.1396,-1
08/24,17/05/2024,16,6-BU,17/05/2024 22:37,17/05/2024 22:47,54,56.9675,1,3.6266,-1,54,56.9088,1,3.5014,-1
08/24,17/05/2024,17,6-AT,17/05/2024 23:47,17/05/2024 23:57,54,55.6712,1,1.3165,-1,54,55.7428,1,1.4201,-1
08/24,18/05/2024,18,6-DU,18/05/2024 00:35,18/05/2024 00:45,54,56.0369,0,58.6908,-1,54,56.1044,0,58.8043,-1
08/24,18/05/2024,19,6-BC,18/05/2024 01:20,18/05/2024 01:30,54,56.6474,0,56.9723,-1,54,56.6857,0,57.1184,-1
08/24,18/05/2024,20,6-AX,18/05/2024 02:08,18/05/2024 02:18,54,55.008,0,56.182,-1,54,55.09,0,56.259,-1
08/24,18/05/2024,21,6-BT,18/05/2024 02:55,18/05/2024 03:05,54,53.3411,0,56.8317,-1,54,53.4083,0,56.9431,-1
08/24,18/05/2024,22,6-AW,18/05/2024 03:46,18/05/2024 03:56,54,53.383,1,0.209,-1,54,53.302,1,0.126,-1
08/24,18/05/2024,23,6-DE,18/05/2024 04:39,18/05/2024 04:49,54,50.8161,0,57.6222,-1,54,50.7173,0,57.5597,-1
08/24,18/05/2024,24,6-EA,18/05/2024 05:39,18/05/2024 05:49,54,50.3629,1,2.7212,-1,54,50.3321,1,2.5695,-1
08/24,18/05/2024,25,6-DD,18/05/2024 06:26,18/05/2024 06:36,54,50.6674,1,5.2427,-1,54,50.6116,1,5.1126,-1
08/24,18/05/2024,26,6-AV,18/05/2024 08:31,18/05/2024 08:41,54,52.5594,1,3.9898,-1,54,52.483,1,3.896,-1
08/24,18/05/2024,27,6-DR,18/05/2024 09:41,18/05/2024 09:51,54,53.0551,1,8.967,-1,54,53.1481,1,8.9446,-1
08/24,18/05/2024,28,6-BD,18/05/2024 10:36,18/05/2024 10:46,54,54.457,1,11.7028,-1,54,54.5495,1,11.6819,-1
08/24,18/05/2024,29,6-CE,18/05/2024 11:49,18/05/2024 11:59,54,58.2773,1,7.2312,-1,54,58.3694,1,7.2312,-1
08/24,18/05/2024,30,6-AS,18/05/2024 12:55,18/05/2024 13:07,54,57.4163,1,9.0048,-1,54,57.5317,1,9.0285,-1
08/24,18/05/2024,31,6-AK,18/05/2024 13:47,18/05/2024 13:57,54,59.0802,1,9.044,-1,54,59.1739,1,9.0437,-1
08/24,18/05/2024,32,6-AQ,18/05/2024 14:52,18/05/2024 15:02,54,58.1227,1,11.0331,-1,54,58.0458,1,10.9396,-1
08/24,18/05/2024,33,6-AR,18/05/2024 15:36,18/05/2024 15:46,54,57.7229,1,12.9044,-1,54,57.6319,1,12.8717,-1
08/24,18/05/2024,34,6-BV,18/05/2024 16:32,18/05/2024 16:42,54,58.5474,1,12.709,-1,54,58.4616,1,12.647,-1
08/24,18/05/2024,35,6-DV,18/05/2024 17:26,18/05/2024 17:36,55,0.6564,1,11.8498,-1,55,0.5793,1,11.7561,-1
08/24,18/05/2024,36,6-AH,18/05/2024 18:19,18/05/2024 18:32,55,1.9409,1,15.165,-1,55,1.8717,1,15.0557,-1
08/24,18/05/2024,37,6-BS,18/05/2024 19:10,18/05/2024 19:20,55,3.7429,1,14.1199,-1,55,3.6556,1,14.0638,-1
08/24,18/05/2024,38,6-AJ,18/05/2024 20:05,18/05/2024 20:15,55,4.6518,1,10.5933,-1,55,4.579,1,10.4919,-1
08/24,19/05/2024,39,6-CK,19/05/2024 07:58,19/05/2024 08:08,55,4.746,1,9.3305,-1,55,4.6587,1,9.2726,-1
08/24,19/05/2024,40,6-BR,19/05/2024 09:12,19/05/2024 09:22,55,7.6705,1,7.8744,-1,55,7.5816,1,7.8235,-1
08/24,19/05/2024,41,6-DT,19/05/2024 09:52,19/05/2024 10:02,55,8.0739,1,8.5112,-1,55,8.1675,1,8.5154,-1
08/24,20/05/2024,44,6-DL,20/05/2024 03:20,20/05/2024 03:30,55,2.1175,0,49.3709,-1,55,2.1941,0,49.4146,-1
08/24,20/05/2024,45,6-BW,20/05/2024 04:25,20/05/2024 04:35,55,3.7939,0,54.9999,-1,55,3.7113,0,54.9251,-1
08/24,20/05/2024,46,6-AP,20/05/2024 05:12,20/05/2024 05:22,55,5.0686,0,54.6966,-1,55,4.9903,0,54.6073,-1
08/24,20/05/2024,47,6-CF,20/05/2024 06:03,20/05/2024 06:13,55,4.5826,0,57.6184,-1,55,4.5029,0,57.533,-1
08/24,20/05/2024,48,6-AN,20/05/2024 06:59,20/05/2024 07:09,55,3.7131,1,1.6925,-1,55,3.6226,1,1.6603,-1
08/24,20/05/2024,49,6-BL,20/05/2024 07:44,20/05/2024 07:54,55,2.5447,1,2.3442,-1,55,2.454,1,2.3077,-1
08/24,20/05/2024,50,6-DB,20/05/2024 08:43,20/05/2024 08:53,55,1.4184,1,5.5407,-1,55,1.3443,1,5.441,-1
08/24,20/05/2024,51,6-BN,20/05/2024 09:53,20/05/2024 10:03,55,2.1036,1,9.3964,-1,55,2.0561,1,9.2573,-1
08/24,20/05/2024,52,6-AM,20/05/2024 11:24,20/05/2024 11:34,55,3.9657,1,6.4936,-1,55,4.056,1,6.4534,-1
08/24,20/05/2024,53,6-AL,20/05/2024 12:18,20/05/2024 12:28,55,4.7558,1,4.9872,-1,55,4.8471,1,4.9568,-1
08/24,20/05/2024,54,6-CJ,20/05/2024 14:19,20/05/2024 14:29,55,5.5489,1,3.8521,-1,55,5.6404,1,3.8847,-1
08/24,20/05/2024,55,6-DJ,20/05/2024 15:17,20/05/2024 15:27,55,6.731,1,0.096,-1,55,6.8234,1,0.1201,-1
08/24,20/05/2024,56,6-CP,20/05/2024 16:31,20/05/2024 16:41,55,8.0433,0,54.8764,-1,55,7.952,0,54.8524,-1
08/24,20/05/2024,57,6-CQ,20/05/2024 17:15,20/05/2024 17:25,55,8.4099,0,56.3296,-1,55,8.3228,0,56.2725,-1
08/24,20/05/2024,58,6-CZ,20/05/2024 18:15,20/05/2024 18:25,55,10.638,0,56.6611,-1,55,10.5525,0,56.5974,-1
08/24,20/05/2024,59,6-CM,20/05/2024 19:08,20/05/2024 19:18,55,11.8234,0,54.0475,-1,55,11.7502,0,53.9448,-1
08/24,20/05/2024,60,6-CN,20/05/2024 20:08,20/05/2024 20:18,55,12.8653,0,58.092,-1,55,12.7718,0,58.0833,-1
08/24,20/05/2024,62,6-CL,20/05/2024 22:22,20/05/2024 22:32,55,16.3068,0,55.881,-1,55,16.2355,0,55.7757,-1
08/24,20/05/2024,63,6-CW,20/05/2024 23:29,20/05/2024 23:39,55,15.9281,1,0.9015,-1,55,16.0207,1,0.9022,-1
08/24,21/05/2024,61,6-AB,20/05/2024 21:02,20/05/2024 21:12,55,13.5984,1,0.074,-1,55,13.5107,1,0.0188,-1
08/24,21/05/2024,64,6-BX,21/05/2024 00:44,21/05/2024 00:54,55,12.0095,1,3.4229,-1,55,12.1015,1,3.4036,-1
08/24,21/05/2024,65,6-AC,21/05/2024 01:34,21/05/2024 01:44,55,11.3449,1,2.908,-1,55,11.4338,1,2.9538,-1
08/24,21/05/2024,66,6-AF,21/05/2024 03:25,21/05/2024 03:35,55,9.7852,1,4.254,-1,55,9.8665,1,4.3316,-1
08/24,21/05/2024,67,6-BK,21/05/2024 04:15,21/05/2024 04:25,55,8.3336,1,4.064,-1,55,8.2527,1,3.9832,-1
08/24,21/05/2024,68,6-CY,21/05/2024 05:16,21/05/2024 05:26,55,10.1215,1,7.1226,-1,55,10.0301,1,7.0961,-1
08/24,21/05/2024,69,6-BP,21/05/2024 06:20,21/05/2024 06:30,55,7.4602,1,12.4788,-1,55,7.3671,1,12.4619,-1
08/24,21/05/2024,70,6-AE,21/05/2024 07:08,21/05/2024 07:18,55,7.4117,1,14.6416,-1,55,7.3221,1,14.5952,-1
08/24,21/05/2024,71,6-AG,21/05/2024 07:56,21/05/2024 08:06,55,7.0403,1,17.4371,-1,55,6.9662,1,17.3376,-1
08/24,21/05/2024,72,6-AA,21/05/2024 09:14,21/05/2024 09:24,55,10.5952,1,13.7741,-1,55,10.529,1,13.6584,-1
08/24,21/05/2024,73,6-AD,21/05/2024 11:22,21/05/2024 11:32,55,11.0033,1,15.4277,-1,55,11.0965,1,15.4277,-1
08/24,21/05/2024,74,6-Z,21/05/2024 12:06,21/05/2024 12:16,55,11.6622,1,16.5426,-1,55,11.7523,1,16.5789,-1
08/24,21/05/2024,75,6-Y,21/05/2024 12:50,21/05/2024 13:00,55,11.5379,1,18.9479,-1,55,11.6314,1,18.9473,-1
08/24,21/05/2024,76,6-BZ,21/05/2024 13:56,21/05/2024 14:06,55,12.7098,1,13.3589,-1,55,12.8013,1,13.3831,-1
08/24,21/05/2024,77,6-S,21/05/2024 15:04,21/05/2024 15:14,55,16.3487,1,13.1615,-1,55,16.4387,1,13.1968,-1
08/24,21/05/2024,78,6-R,21/05/2024 16:55,21/05/2024 17:05,55,18.2404,1,11.2096,-1,55,18.1516,1,11.1611,-1
08/24,21/05/2024,79,6-U,21/05/2024 17:54,21/05/2024 18:04,55,15.0179,1,8.9956,-1,55,14.9282,1,8.9527,-1
08/24,21/05/2024,80,6-BQ,21/05/2024 18:52,21/05/2024 19:02,55,11.68,1,9.0449,-1,55,11.5873,1,9.0171,-1
08/24,21/05/2024,81,6-CX,21/05/2024 19:54,21/05/2024 20:04,55,13.9814,1,6.9569,-1,55,13.908,1,6.8559,-1
08/24,21/05/2024,82,6-BY,21/05/2024 21:12,21/05/2024 21:22,55,17.8281,1,4.7576,-1,55,17.745,1,4.685,-1
08/24,21/05/2024,83,6-T,21/05/2024 22:12,21/05/2024 22:22,55,18.7456,1,1.0844,-1,55,18.6741,1,0.981,-1
08/24,21/05/2024,84,6-DH,21/05/2024 23:27,21/05/2024 23:28,55,19.8291,1,7.1011,-1,55,19.9192,1,7.1005,-1
08/24,22/05/2024,85,6-CD,22/05/2024 00:31,22/05/2024 00:41,55,21.2695,1,11.6203,-1,55,21.3615,1,11.593,-1
08/24,22/05/2024,86,6-J,22/05/2024 01:34,22/05/2024 01:44,55,20.7937,1,16.6713,-1,55,20.8859,1,16.6929,-1
08/24,22/05/2024,87,6-H,22/05/2024 02:32,22/05/2024 02:42,55,23.1002,1,14.086,-1,55,23.1895,1,14.1308,-1
08/24,22/05/2024,88,6-L,22/05/2024 03:38,22/05/2024 03:48,55,22.0693,1,8.7596,-1,55,22.1609,1,8.7869,-1
08/24,22/05/2024,89,6-K,22/05/2024 04:35,22/05/2024 04:45,55,22.5421,1,4.1154,-1,55,22.6351,1,4.1182,-1
08/24,22/05/2024,90,6-CU,22/05/2024 05:43,22/05/2024 05:53,55,24.8483,0,57.9194,-1,55,24.7638,0,57.8458,-1
08/24,22/05/2024,91,6-D,22/05/2024 06:50,22/05/2024 07:00,55,26.9179,1,2.9632,-1,55,26.8278,1,2.915,-1
08/24,22/05/2024,92,6-CT,22/05/2024 07:46,22/05/2024 07:56,55,27.0003,1,6.9963,-1,55,26.9083,1,6.9586,-1
